MEDIUM,FABRIC,TECHNIQUE,FORM,SUB-FORM,DATES,PAINTER,POTTER,SUBJECT_ADDITIONAL,LOCATION_COUNTRY,LOCATION_CITY,COLLECTION_NAME,COLLECTION_ID,PROVENIENCE,TRENDALL_ID,IMAGE_SERIES,SCENE_TYPE_A,MUSICAL_SCENE_TYPE_A,TRENDALL_DESCRIPTION_A,SIDE_A_DETAILS,SIDE_A_INSTRUMENTS_AND_NUMBERS,SIDE_A_PERFORMERS,SIDE_A_PERFORMER_LOCATION,SIDE_A_PERFORMER_ACTION,SIDE_A_NUMBER_OF_FIGURES,SIDE_A_COMPOSITION,SCENE_TYPE_B,MUSICAL_SCENE_TYPE_B,TRENDALL_DESCRIPTION_B,SIDE_B_DETAILS,SIDE_B_INSTRUMENTS_AND_NUMBERS,SIDE_B_PERFORMERS,SIDE_B_PERFORMER_LOCATION,SIDE_B_PERFORMER_ACTION,SIDE_B_NUMBER_OF_FIGURES,SIDE_B_COMPOSITION,IMAGE_IDS,NOTES,PUBLICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Bell,,BDG,,,,Taranto,MARTA,61735,,01.01,5975-76,DANCING,DANCING(AU),,Auletes (Aulos) with dancing warrior (man holding shield and spear),1(AU),M(AU),R (AU),STANDING (AU),2M,SINGLE,MANTLE FIGURES,,,"Two male mantle figures, one with frontal body, facing each other",,,,,2M,SINGLE,"IMAG5975.jpg, IMAG5976.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Bell,,BDG,,,,Taranto,MARTA,,Rutigliano,01.01a,5977,DANCING,"DANCING(AU), DANCING(TYM)",,"Auletrix (Aulos) dancing, with dancing male (frontal) with tambourine","1(AU), 1(TYM)","F(AU), M(TYM)","L (AU), R (TYM)","DANCING (AU), DANCING (TYM)","1F, 1M",SINGLE,MANTLE FIGURES,,,"Two male mantle figures, facing one another, one with frontal body",,,,,2M,SINGLE,IMAG5977.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Calyx,,BDG,,,,Berlin,,F2400,,01.08,5978,DANCING,DANCING(AU),,Seated auletrix (Aulos) with girl dancing (note bag for pipes (?) on wall behind),1(AU),F(AU),R (AU),SEATED (AU),2F,SINGLE,NO PHOTO,,,,,,,,,,IMAG5978.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Bell,,BDG,,,Switzerland,,Market (Anagne),R.I. 58 1976,,01.12,5979-81,MYTHOLOGICAL,MYTHOLOGICAL(CHYL),,"Seated kitharist (kithara or chelys?) on rock (name inscribed: Orpheus), standing frontal warrior, horse",1(CHYL),M(CHYL),L (CHYL),SEATED (CHYL),"2M, 1A",SINGLE,MANTLE FIGURES (QUASI),,,"youth wrapped in mantle receiving strap (wreath?) from woman in peplos, male mantle figure to the right with staff facing L",,,,,"1F, 2M",SINGLE,"IMAG5979.jpg, IMAG5980.jpg, IMAG5981.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Volute,,BDG,,,,Taranto,MARTA,140639,,01.12a,5982-83,MYTHOLOGICAL,,,"Body: Thanatos, Memnon, Achilles receiving wreath from victory; Amazonomachy on neck",,,,,"5F, 5M, 1N, 1OW, 2A",SINGLE,PALAESTRA,PALAESTRA(AU),,"Body: Auletes (aulos), mantle figure with staff, nude youth with discus, nude youth with jumping weights; neck: cavalry",1(AU),M(AU),L (AU),STANDING (AU),"8M, 4A",SINGLE,"IMAG5982.jpg, IMAG5983.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Hydria,,,BDG,,,US,,"Sotheby's 21.05.84, 384",F22405,,01.14a,5991-97,???,???(CHYL),,"Two female figures under handles, two dancing females facing one another with kitharist (m) holding chelys lyre (l) and mantle (r), frontal and centre, looking R; low seat",1(CHYL),M(CHYL),C (CHYL),STANDING (CHYL),"4F, 1M",SINGLE,,,,,,,,,,,"IMAG5991.jpg, IMAG5992.jpg, IMAG5993.jpg, IMAG5994.jpg, IMAG5995.jpg, IMAG5996.jpg, IMAG5997.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Bell,,Hearst,,,,,San Simeon/Hearst,2369,,01.20,5999-6000,PROCESSION,PROCESSION(AU),,"Nude youth with stick running L, nude boy playing aulos walking/running L, nude youth with drapery over arms and torch in L hand running L",1(AU),C(AU),C (AU),WALKING (AU),"2M, 1C",SINGLE,MANTLE FIGURES,,,"Two mantle figures facing one another, R one with stick, pillar in centre",,,,,2M,SINGLE,"IMAG5999.jpg, IMAG6000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater (?),FRAG,,Hearst,,,,,Cahn,278,,01.25a,6004-09,"PROCESSION (DIONYSIAC), MYTHOLOGICAL",,,"Two friezes, lower with satyrs with hammers and a female rising from the ground (return of Persephone?), upper with dancing youths and maenads",,,,,"3F, 2M, 4S, 2?",2 FRIEZES,DINING,DINING (BARB),,fragments of dining scene with one symposiast playing a chelys lyre and a girl dancing and clapping,1(BARB),M(BARB),R (BARB),RECLINING (BARB),"1F, 5M",2 FRIEZES,"IMAG6004.jpg, IMAG6005.jpg, IMAG6006.jpg, IMAG6007.jpg, IMAG6008.jpg, IMAG6009.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Bell,,Hearst,,,,Agrigento,,R178,,01.27,6010,PROCESSION,PROCESSION(TYM),,"Eros with mirror facing R, woman with tambourine raised in centre, Hermes with Kerykion and Petasos facing L with R foot on a rock",1(TYM),F(TYM),C (TYM),WALKING (TYM),"1F, 1M, 1E",SINGLE,NO PHOTO,,,,,,,,,,IMAG6010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apulian,,Krater,Volute,,Sisyphus,,,,Munich,,3268,,01.51,6018-26,"MYTHOLOGICAL, NUPTIAL",,,"Body: 2 friezes, lower with Erotes, youths, and a youth dressed as a traveler slaying a python (Jason, Medea, and the Golden Fleece), upper with wedding scene of youths and maidens with an old man, receiving a vine leaf with the inscription 'Sisyphos', next to a hydria and column; neck with erotes, including a central one crowning a seated woman",,,,,"5F, 11M, 7E, 1A",2 FRIEZES,"ADORNMENT, MYTHOLOGICAL",,,"Body: 2 friezes, lower with a centauromachy scene, upper with women – 2 aulos players flanking, three women in centre playing (L-R) a trigonos (harp), kithara, and chelys lyre; neck with nude youths riding horses (race?)",,,,,"9F, 7M, 4CEN, 6A",2 FRIEZES,"IMAG6018.jpg, IMAG6019.jpg, IMAG6020.jpg, IMAG6021.jpg, IMAG6022.jpg, IMAG6023.jpg, IMAG6024.jpg, IMAG6025.jpg, IMAG6026.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
